Asset_ID,Asset_XCords,Asset_YCords,latitude,longitude
27437,526979,189806,51.59280155931573,-0.1683203827401555
27438,526992,189781,51.59257396388491,-0.1681418559822042
27439,526998,189750,51.59229402431287,-0.168066496055391
27440,527020,189728,51.592091361598655,-0.1677570368193051
27441,527031,189706,51.59189117601752,-0.1676062862868363
27442,527016,189696,51.59180468744808,-0.1678263194944839
27443,526980,189805,51.59279234742058,-0.1683063161451531
27444,526998,189749,51.592285037590585,-0.1680668576098689
27445,522165,187896,51.57669967494135,-0.238443448604202
27446,522203,187904,51.57676334319247,-0.2378925726360376
27447,522232,187921,51.576909842328966,-0.237468378554392
27448,522271,187929,51.57697328926864,-0.2369030751472132
27449,522308,187938,51.577046154077486,-0.2363662696520836
27450,522339,187936,51.577021459464845,-0.2359198322959253
27451,522370,187950,51.57714055640567,-0.2354678264385948
27452,522397,187950,51.57713470021572,-0.2350783871240768
27453,522425,187942,51.577056729172725,-0.2346773100397841
27454,522453,187957,51.577185459430495,-0.234268223443493
27455,522483,187945,51.57707110320671,-0.2338396935982874
27456,522512,187956,51.57716366512516,-0.2334175747749576
27457,522541,187945,51.57705851005786,-0.2330031224271018
27458,522565,187960,51.57718810332028,-0.2326517259203885
27459,522592,187972,51.57729008252908,-0.2322581023974057
27460,522596,188000,51.577540851171946,-0.2321906435832095
27461,522627,188005,51.57757905006313,-0.2317417624007783
27462,522653,188013,51.5776452953115,-0.2313639528619564
27463,522679,188020,51.57770255227687,-0.2309864912081619
27464,522705,188040,51.57787663971087,-0.2306044912072887
27465,522727,188045,51.57791679015981,-0.2302854204955762
27466,522754,188050,51.57795585196091,-0.2298942297620179
27467,522781,188042,51.57787808083047,-0.2295075786580564
27468,522804,188061,51.57804382928511,-0.2291691927144245
27469,522831,188055,51.57798402985955,-0.2287818433746383
27470,522853,188076,51.578167968007634,-0.2284571790687347
27471,522878,188073,51.57813556291786,-0.2280976289349889
27472,522896,188095,51.57832935744078,-0.22783030720849
27473,522916,188106,51.57842385821742,-0.2275379812011799
27474,522941,188108,51.57843638547777,-0.2271766811921861
27475,522949,188137,51.57869526627476,-0.2270511464572117
27476,522969,188156,51.57886166133095,-0.226756018077278
27477,522994,188157,51.57886519911615,-0.2263950643132467
27478,523014,188166,51.57894172218824,-0.2261034318201153
27479,523030,188188,51.57913594813582,-0.22586494537986
27480,523049,188199,51.57923066200854,-0.2255870344627743
27481,523079,188205,51.579278040585216,-0.2251522058227449
27482,522530,187955,51.5771507695391,-0.2331582972269568
27483,522538,187944,51.57705017450754,-0.2330467418768829
27484,522535,187950,51.57710474840597,-0.2330879215738439
27485,522533,187950,51.57710518273113,-0.2331167688760723
27486,522536,187951,51.57711351830704,-0.233073149385548
27487,522557,187952,51.57711794449107,-0.2327699041026288
27488,522563,187953,51.57712562830272,-0.2326830135755069
27489,522917,188097,51.57834275702929,-0.2275267040046746
27490,522919,188100,51.57836928243491,-0.2274968070476833
27491,522949,188126,51.57859640889261,-0.227054993641485
27492,522952,188128,51.57861372922336,-0.2270110219104244
27493,522613,188005,51.577582092526136,-0.2319436954869011
27494,522618,188008,51.577607967151295,-0.2318705301816112
27495,522164,187896,51.57669989144551,-0.2384578721685734
27496,522679,188021,51.577711539332135,-0.2309861422516334
27497,522779,188043,51.57788750308815,-0.2295360771494259
27498,522396,187950,51.57713491713467,-0.2350928108000443
27499,526822,196313,51.65131323664754,-0.1682321780845367
27500,526811,196322,51.6513965952222,-0.168387831233237
27501,526811,196320,51.65137862195645,-0.1683885557467818
27502,528673,192607,51.61758897990859,-0.1428526032922158
27503,528695,192629,51.61778165932992,-0.1425269442197055
27504,528702,192640,51.61787891243494,-0.1424218570441168
27505,528690,192658,51.6180434114728,-0.1425884827161109
27506,528664,192679,51.61823806727526,-0.1429561124393996
27507,528653,192712,51.61853713556467,-0.1431028029720621
27508,528628,192732,51.618722574937365,-0.1434563695040537
27509,528622,192758,51.61895759524789,-0.1435334509420205
27510,525845,190796,51.6019526925301,-0.1843271845155336
27511,525875,190809,51.60206282299339,-0.1838895892468421
27512,525899,190829,51.60223719930308,-0.1835360686953724
27513,525917,190857,51.60248480899091,-0.1832662636066933
27514,525947,190867,51.602567975072944,-0.1828297370418978
27515,525968,190895,51.60281491270311,-0.1825166319554016
27516,525995,190903,51.60288077292109,-0.1821241130006451
27517,525898,190829,51.60223742263239,-0.1835504999166139
27518,525917,190857,51.60248480899091,-0.1832662636066933
27519,527493,192732,51.61898056209419,-0.1598414938467725
27520,527526,192728,51.618937146857405,-0.1593665491914719
27521,527554,192741,51.61904763454164,-0.1589576041432794
27522,527587,192736,51.6189952290971,-0.1584830235172449
27523,527619,192747,51.61908683435145,-0.1580170581870515
27524,527649,192750,51.61910699786104,-0.1575828755773666
27525,527685,192745,51.61905390696726,-0.1570649870350647
27526,527718,192757,51.61915426648529,-0.1565842178514617
27527,527751,192756,51.61913779794377,-0.1561081820402053
27528,527780,192769,51.61924804736971,-0.1556847911576477
27529,527808,192765,51.61920574962737,-0.1552820299841413
27530,527827,192773,51.61927333196544,-0.1550048230325015
27531,527869,192756,51.61911102861024,-0.1544046928828934
27532,524424,188769,51.58405165755784,-0.2055520613016349
27533,524395,188606,51.58259318460394,-0.206028099578006
27534,524423,188737,51.58376429663448,-0.2055778164544644
27535,524372,188601,51.58255332113889,-0.2063616480611131
27536,524422,188706,51.58348592261132,-0.2056032172015189
27537,524336,188597,51.5825253090112,-0.2068823692618751
27538,524421,188679,51.583243496258746,-0.205627201484763
27539,524421,188660,51.58307274472074,-0.2056339279866734
27540,524410,188630,51.58280556300356,-0.2058032262947057
27541,524411,188604,51.58257168242925,-0.2057980047497719
27542,520367,190828,51.60343653958191,-0.2633727340635406
27543,520355,190806,51.60324138390047,-0.2635534634514333
27544,519738,191634,51.61081418211607,-0.2721756597033797
27545,519702,191628,51.61076790625979,-0.2726973533776975
27546,519673,191623,51.61072912892519,-0.2731176627246333
27547,528255,192550,51.61717205190268,-0.1489076107878617
27548,528260,192521,51.61691030268764,-0.1488460368917411
27549,528274,192493,51.616655491129954,-0.1486541783748797
27550,528296,192471,51.61645277724087,-0.1483446439796375
27551,528301,192438,51.61615508139916,-0.1482845372813406
27552,528324,192410,51.61589821931752,-0.1479627676100458
27553,528331,192377,51.615600067778,-0.1478737937144273
27554,528354,192354,51.61538813752482,-0.1475502007132362
27555,528359,192322,51.61509942787351,-0.1474897345398745
27556,528360,192314,51.615027307405526,-0.1474782268556738
27557,528370,192317,51.61505198904099,-0.1473327791778119
27558,521407,190851,51.6034202233668,-0.2483553614702332
27559,521378,190858,51.60348937793477,-0.2487714722257668
27560,521357,190843,51.60335909260871,-0.2490797326011932
27561,521344,190854,51.60346074919464,-0.2492635474422242
27562,521336,190835,51.60329171618622,-0.2493855717180055
27563,521328,190851,51.603437231719,-0.2494954983388231
27564,521335,190867,51.60357951876557,-0.2493889431791385
27565,521678,191836,51.61221406116598,-0.2441027591472954
27566,521712,191833,51.612179757862805,-0.2436130146657956
27567,521727,191845,51.61228436279053,-0.2433923287398917
27568,521730,191802,51.61189727110786,-0.2433639426805971
27569,525689,190974,51.60358714528172,-0.1865147126374896
27570,525717,190989,51.60371570340206,-0.1861052537685995
27571,525737,191008,51.60388199174125,-0.185809813795375
27572,525754,191037,51.60413881649587,-0.1855540845525767
27573,525784,191054,51.60428489847546,-0.1851150376080427
27574,522017,191453,51.60869872603415,-0.2393425317129197
27575,522036,191474,51.608883340394655,-0.2390609885229774
27576,522004,191481,51.6089531776057,-0.2395204354811659
27577,522017,191495,51.609076182034165,-0.2393279284069028
27578,522028,191522,51.609316450764126,-0.2391597674486931
27579,522029,191546,51.609531923350254,-0.2391369877189035
27580,522023,191571,51.60975789856732,-0.2392148983001225
27581,522033,191603,51.610043318830414,-0.2390594294299119
27582,522046,191623,51.61022024468557,-0.238864829603256
27583,522068,191636,51.6103323116442,-0.2385427551887786
27584,522085,191656,51.6105083701222,-0.238290415009464
27585,522092,191680,51.61072254265707,-0.2381810243775199
27586,522117,191696,51.61086091875051,-0.2378145975473501
27587,522127,191722,51.61109241477211,-0.2376612043376915
27588,522144,191740,51.611250497191484,-0.2374095527208546
27589,522164,191757,51.61139894171225,-0.2371149438686071
27590,522182,191773,51.61153883205211,-0.2368495505080435
27591,522209,191786,51.61164980907868,-0.2364552887350415
27592,519211,192867,51.62200715358268,-0.2793637065800578
